10003046Donna Wright                  1613863809Portage OH 53015                             30578012021-08-18
27582504Miller Watson                 1855497756Lukken TX 26590                              79770212017-05-22
27597123Barbara Davis                 0248869978Merchant CA 10437                            10420882006-05-23
27758726James Brooks                  0793834706Bellgrove TX 58499                           12365192011-06-29
27788085Richard Barnes                1550314914Roxbury HI 14554                             46915882016-04-23
27814996Morgan Hughes                 1765180110Morning FL 11085                             21804732008-10-07
27833627Wilson Scott                  12090728115th NC 54082                                 54383432019-09-20
27838506Donna Cook                    1769484152La Follette FL 02521                         33078572012-05-14
27843022Harper Kelly                  0755098414La Follette FL 02521                         72812552010-11-21
27972442Michael Clark                 0402156206Mendota NC 57470                             60659902006-08-10
28038488Betty Hill                    1301707029Charing Cross FL 99307                       14537222020-05-09
28061579Stephanie Rogers              0670751093Everett OH 45678                             79994172011-11-04
28080370Bell Reyes                    1396337779La Follette FL 02521                         34469672012-06-11
28114241Ronald Williams               1308002852South FL 69217                               99282482004-12-05
28153357Brown Morgan                  1622108580Thackeray GA 43665                           14681612016-06-22
28302701Harper Rogers                 1670589311Elka AL 60838                                67775502002-07-21
28333396James Adams                   1270044094Nobel DC 01464                               25253962015-09-20
28387186Ashley Moore                  0650939082Green Ridge VA 93160                         31953772003-12-10
28392989Mason Lewis                   0615381865Green Ridge VA 93160                         68905772018-02-19
28460243Brown Anderson                1644431668Basil IN 24179                               61646352019-02-23
28485311Kimberly James                0250201084Russell TX 26695                             84376862009-10-03
